Time	sum(Output total – Blocks (ZEC)) – Zcash
10.12.2018	146862370116880
11.12.2018	98977570077555
12.12.2018	125674996638051
13.12.2018	193023363765951
14.12.2018	200493871792032
15.12.2018	141964068916797
16.12.2018	108617681395334
17.12.2018	108277007776708
18.12.2018	100145057789749
19.12.2018	373908980334602
20.12.2018	233158624665897
21.12.2018	235608788969083
22.12.2018	145591350901005
23.12.2018	137073272348626
24.12.2018	75453770002202
25.12.2018	68104573955416
26.12.2018	107128319563996
27.12.2018	89997206719817
28.12.2018	91138792925374
29.12.2018	75055137808274
30.12.2018	91980114802365
31.12.2018	62314613684670
01.01.2019	73062137522932
02.01.2019	99192448776405
03.01.2019	82727202711413
04.01.2019	94532502663159
05.01.2019	84751470641834
06.01.2019	121152740516892
07.01.2019	102370988271021
08.01.2019	60904218355333
09.01.2019	77002720375663
10.01.2019	155479140605944
11.01.2019	185380747946553
12.01.2019	80616173502869
13.01.2019	72104914362239
14.01.2019	107120686326050
15.01.2019	148859449642419
16.01.2019	111445079211490
17.01.2019	108157839490911
18.01.2019	75402669386303
19.01.2019	51376991399257
20.01.2019	113138929210871
21.01.2019	123422492949905
22.01.2019	44712963556800
23.01.2019	65083929992618
24.01.2019	93001446853634
25.01.2019	37202273348179
26.01.2019	57618511787243
27.01.2019	38189088611367
28.01.2019	113830427581353
29.01.2019	144189023739193
30.01.2019	80566410129656
31.01.2019	47605667811895
01.02.2019	64242334729317
02.02.2019	55197568416624
03.02.2019	64847314824976
04.02.2019	52494115195986
05.02.2019	34326161162699
06.02.2019	87930394386204
07.02.2019	72856398739910
08.02.2019	96045926654056
09.02.2019	71983528035359
10.02.2019	63818533404075
11.02.2019	134657564302559
12.02.2019	217344460921955
13.02.2019	183085385615513
14.02.2019	104035765922131
15.02.2019	115759982819695
16.02.2019	113024181773854
17.02.2019	166080327877232
18.02.2019	135185544387537
19.02.2019	237277743340229
20.02.2019	160099578293614
21.02.2019	152429047982075
22.02.2019	117957195325032
23.02.2019	213383546473234
24.02.2019	369086934170267
25.02.2019	276961812732972
26.02.2019	169934081945490
27.02.2019	228857857853793
28.02.2019	112476595626718
01.03.2019	94006081338804
02.03.2019	110097801364075
03.03.2019	87149337890021
04.03.2019	345827059778034
05.03.2019	178299738854967
06.03.2019	119156915371725
07.03.2019	124793619876348
08.03.2019	231486636740398
09.03.2019	164702744238848
10.03.2019	85934291907588
11.03.2019	139385094438214
12.03.2019	124047650698627
13.03.2019	86669626393397
14.03.2019	131648527802293
15.03.2019	86968597574054
16.03.2019	114023791545572
17.03.2019	86598643549597
18.03.2019	146415578524584
19.03.2019	147859257461376
20.03.2019	266516868331815
21.03.2019	142089686577306
22.03.2019	177810333493615
23.03.2019	136657173532581
24.03.2019	328388722323171
25.03.2019	191613903494865
26.03.2019	145413132152511
27.03.2019	158271773692803
28.03.2019	115886671345010
29.03.2019	111069717029288
30.03.2019	182878015722953
31.03.2019	136458727048799
01.04.2019	346385757632217
02.04.2019	598898387401691
03.04.2019	335611895454898
04.04.2019	276710611893816
05.04.2019	245157885066951
06.04.2019	174521313458804
07.04.2019	106160817183759
08.04.2019	144482525479330
09.04.2019	140343349003841
10.04.2019	164666850963080
11.04.2019	212470618134066
12.04.2019	162351549354686
13.04.2019	98023608747210
14.04.2019	123527796480536
15.04.2019	138285440948368
16.04.2019	85823977527975
17.04.2019	112971898803843
18.04.2019	248963323224831
19.04.2019	266096647929408
20.04.2019	184175774604024
21.04.2019	179085249953313
22.04.2019	190195487352209
23.04.2019	170414301875806
24.04.2019	182011629650112
25.04.2019	253474368315245
26.04.2019	751572206283138
27.04.2019	332685145426659
28.04.2019	219508636557169
29.04.2019	202444920200577
30.04.2019	175721386469214
01.05.2019	225952231477076
02.05.2019	171712678424625
03.05.2019	195276431182120
04.05.2019	202986812257284
05.05.2019	125883692252455
06.05.2019	185292075653894
07.05.2019	128950264944961
08.05.2019	116344249030632
09.05.2019	191419351065033
10.05.2019	78274204404802
11.05.2019	85766559346422
12.05.2019	77817855015077
13.05.2019	105494140925965
14.05.2019	188158638154729
15.05.2019	306648108232913
16.05.2019	432363359780493
17.05.2019	197553568429832
18.05.2019	108207135296080
19.05.2019	111491981884322
20.05.2019	101434246617933
21.05.2019	157630959158442
22.05.2019	188508085254122
23.05.2019	147249308274125
24.05.2019	126614170610671
25.05.2019	120255622172410
26.05.2019	182706305037627
27.05.2019	355985115361634
28.05.2019	268816880044360
29.05.2019	215108699878930
30.05.2019	300673406079194
31.05.2019	242344793994544
01.06.2019	226483624971284
02.06.2019	166134884743026
03.06.2019	145913748829470
04.06.2019	242766615743383
05.06.2019	226436713620858
06.06.2019	130847101714696
07.06.2019	143365190647992
08.06.2019	109473444062319
09.06.2019	124691420119540
