Time	sum(Output total – Blocks (LTC)) – Litecoin
24.11.2012	18401612521816
25.11.2012	39127123921948
26.11.2012	14459561884445
27.11.2012	32967202864911
28.11.2012	25970770903565
29.11.2012	52045066345738
30.11.2012	33859400728922
01.12.2012	28392731232136
02.12.2012	17783917006089
03.12.2012	26095654567421
04.12.2012	14284752751065
05.12.2012	24532293966795
06.12.2012	27420080527561
07.12.2012	16430968241748
08.12.2012	24865617066145
09.12.2012	39940331014644
10.12.2012	32554866320225
11.12.2012	12292842308825
12.12.2012	10427348930683
13.12.2012	21499132355822
14.12.2012	11548454160969
15.12.2012	13450346358218
16.12.2012	21099118357441
17.12.2012	19976033994660
18.12.2012	21401430166777
19.12.2012	20529992848058
20.12.2012	20922858767069
21.12.2012	22528845554345
22.12.2012	23348437283174
23.12.2012	18191017455130
24.12.2012	23987903135055
25.12.2012	11488290985377
26.12.2012	36348853719094
27.12.2012	32165655027731
28.12.2012	21643991216048
29.12.2012	8942922008542
30.12.2012	17642160955113
31.12.2012	65337802645126
01.01.2013	14015107389959
02.01.2013	8995044840704
03.01.2013	19475694447373
04.01.2013	11792405988467
05.01.2013	9434701317037
06.01.2013	21765523506576
07.01.2013	19344243010041
08.01.2013	21420665250431
09.01.2013	19832710654523
10.01.2013	17558768110529
11.01.2013	26902094106950
12.01.2013	16666258631584
13.01.2013	14785250168395
14.01.2013	51131127885542
15.01.2013	28577263102920
16.01.2013	15141752460128
17.01.2013	16413657478928
18.01.2013	37578235369165
19.01.2013	17575035006188
20.01.2013	22807434826261
21.01.2013	15280075382804
22.01.2013	20225941003952
23.01.2013	19061686709340
24.01.2013	17225633071403
25.01.2013	19236205284242
26.01.2013	12869039564019
27.01.2013	15175369801221
28.01.2013	21157106378699
29.01.2013	18581022060199
30.01.2013	15134673466332
31.01.2013	25798862566952
01.02.2013	23576913190327
02.02.2013	14539002300798
03.02.2013	12178254932988
04.02.2013	15205004001520
05.02.2013	20035539635621
06.02.2013	24969664475929
07.02.2013	24138069329759
08.02.2013	30781534350618
09.02.2013	38113788343469
10.02.2013	31976724501870
11.02.2013	19838812505557
12.02.2013	32406964843162
13.02.2013	22945422904713
14.02.2013	25154758715757
15.02.2013	31536147724926
16.02.2013	19319644807437
17.02.2013	22858267570783
18.02.2013	35040170746626
19.02.2013	31534332434059
20.02.2013	89030735326085
21.02.2013	149125259022838
22.02.2013	28200232271854
23.02.2013	39349168090816
24.02.2013	36551562522375
25.02.2013	26246286461072
26.02.2013	28909232215180
27.02.2013	28906691216572
28.02.2013	43774378993434
01.03.2013	29732865985669
02.03.2013	30108986108792
03.03.2013	48494777334130
04.03.2013	113492790342776
05.03.2013	123561717119646
06.03.2013	78071433009722
07.03.2013	196799371366628
08.03.2013	119260530864739
09.03.2013	341490837120275
10.03.2013	323788769850876
11.03.2013	214699746030507
12.03.2013	81131748242066
13.03.2013	182553565229869
14.03.2013	107049336840822
15.03.2013	61215876584964
16.03.2013	69978370829706
17.03.2013	105423285122858
18.03.2013	147778431301891
19.03.2013	182228034040733
20.03.2013	102761534735980
21.03.2013	104947778565684
22.03.2013	87929191497834
