Time	sum(Output total – Blocks (DOGE)) – Dogecoin
30.09.2014	2549762979341221000
01.10.2014	2001841027197709800
02.10.2014	2080340126635848400
03.10.2014	1992010223298389800
04.10.2014	2101376007646291200
05.10.2014	3108386984187832300
06.10.2014	3564379843346348000
07.10.2014	2876084071352982000
08.10.2014	3732042466415146500
09.10.2014	4592501757721863000
10.10.2014	4746759650395007000
11.10.2014	4228530353401277000
12.10.2014	3301093206098223000
13.10.2014	4743120115658523000
14.10.2014	6511882813316095000
15.10.2014	6869543550248727000
16.10.2014	-5864066704669223000
17.10.2014	-4405077450276878300
18.10.2014	-7859761540772045000
19.10.2014	8565758455361504000
20.10.2014	-9097425507417625000
21.10.2014	-5455607250175740000
22.10.2014	-6446957945174915000
23.10.2014	8900523562678956000
24.10.2014	7195996547808267000
25.10.2014	7737416567992898000
26.10.2014	-8757697252671404000
27.10.2014	-7661336117984338000
28.10.2014	-6745956806371434000
29.10.2014	9139654670193399000
30.10.2014	5047201800424238000
31.10.2014	5591226326592538000
01.11.2014	5056064301758959000
02.11.2014	7204278862244491000
03.11.2014	6560807015788216000
04.11.2014	-8295688923161461000
05.11.2014	-7254250853596066000
06.11.2014	-4734332182374863000
07.11.2014	-5961668122714743000
08.11.2014	-623579057206022100
09.11.2014	-812201739517847600
10.11.2014	-156645746630199300
11.11.2014	-3514367235877398500
12.11.2014	-626695861011963900
13.11.2014	6305845124583540000
14.11.2014	1042401923979760000
15.11.2014	8748460768396785000
16.11.2014	6303524703641737000
17.11.2014	5269089049304170000
18.11.2014	4867052780401923000
19.11.2014	4381195984548381000
20.11.2014	4302543352632100000
21.11.2014	3552703530604622300
22.11.2014	3980957314287650000
23.11.2014	4369192152569685000
24.11.2014	4553470602282723000
25.11.2014	5895754620147859000
26.11.2014	7941527470017967000
27.11.2014	5311886747260186000
28.11.2014	4824742636915620000
29.11.2014	5613062734437556000
30.11.2014	5111083370592255000
01.12.2014	6739672439413744000
02.12.2014	6878746658111217000
03.12.2014	6289408338261371000
04.12.2014	6237543034525725000
05.12.2014	5516180514138016000
06.12.2014	5853919787471551000
07.12.2014	6549999347219223000
08.12.2014	6480632056851532000
09.12.2014	5575079660325377000
10.12.2014	6192051566887246000
11.12.2014	6311714864615666000
12.12.2014	8828327489739908000
13.12.2014	6998194068050736000
14.12.2014	6902799915134946000
15.12.2014	6483754161294947000
16.12.2014	5517271233905343000
17.12.2014	6500036592033113000
18.12.2014	-8704051333923992000
19.12.2014	8490917080823459000
20.12.2014	-8962708840633391000
21.12.2014	6531760049169055000
22.12.2014	5183816914611634000
23.12.2014	7443879429065686000
24.12.2014	7154249201484954000
25.12.2014	6545365735640758000
26.12.2014	5857098757530766000
27.12.2014	6519687175063129000
28.12.2014	8312692235433958000
29.12.2014	8137835188012322000
30.12.2014	8874738071023970000
31.12.2014	5707175666118033000
01.01.2015	-8865600858954775000
02.01.2015	8186749541268964000
03.01.2015	7777951674736428000
04.01.2015	6253093813968982000
05.01.2015	-8017768820193233000
06.01.2015	7459247155562071000
